"IdAlumno","PromedioAcum","Genero"
"A22944",0,"M"
"A22945",0,"M"
"A22946",0,"F"
"A22949",0,"M"
"A22950",91.676,"F"
"A22951",84,"F"
"A22955",0,"F"
"A22957",0,"F"
"A22958",0,"F"
"A22960",88.578,"M"
"A22963",71.451,"M"
"A22965",69.269,"M"
"A22966",80.783,"M"
"A22968",81.411,"F"
"A22969",0,"M"
"A22972",82.92,"M"
"A22974",0,"M"
"A22978",80.041,"M"
"A22979",82.384,"M"
"A22981",88.818,"M"
"A22983",0,"M"
"A22984",80.666,"F"
"A22989",68,"F"
"A22991",82,"M"
"A22994",82.5,"M"
"A22998",94.583,"M"
"A22999",90.363,"M"
"A23011",0,"F"
"A23014",71.369,"M"
"A23154",74.465,"M"
"A23156",81.789,"M"
"A23167",92.784,"M"
"A23174",75.962,"M"
"A23175",74.379,"M"
"A23178",92.145,"M"
"A23180",86.729,"M"
"A23181",82.093,"F"
"A23185",73.454,"M"
"A23186",84.065,"M"
"A23187",84.324,"M"
"A23188",85.666,"F"
"A23189",90.071,"M"
"A23190",82.9,"F"
"A23192",89.342,"M"
"A23195",87.343,"M"
"A23196",91.185,"F"
"A23197",82.054,"F"
"A23198",95.324,"F"
"A23200",83.575,"F"
"A23201",85.187,"F"
"A23202",83.291,"F"
"A23203",75.285,"M"
"A23204",88.956,"F"
"A23206",80.948,"M"
"A23208",83.787,"M"
"A23210",97.761,"M"
"A23216",89.307,"F"
"A23217",85.666,"M"
"A23218",82.083,"M"
"A23221",83.115,"M"
"A23222",85.962,"M"
"A23223",86.3,"M"
"A23225",93.384,"F"
"A23226",84.533,"F"
"A23229",76.933,"F"
"A23230",80.307,"F"
"A23231",90.916,"F"
"A23232",81.923,"F"
"A23233",0,"M"
"A23235",0,"F"
"A23236",0,"M"
"A23238",0,"M"
"A23244",0,"M"
"A23245",0,"F"
"A23246",0,"M"
"A23247",0,"M"
"A23285",79.909,"M"
"A24237",72,"M"
"A24277",82.631,"M"
"A24280",76.861,"M"
"A24308",83.779,"M"
"A24383",72.828,"M"
"A24474",76.158,"M"
"A24506",70.5,"F"
"A24519",75.645,"M"
"A24532",86.384,"F"
"A24539",83.436,"M"
"A24541",76.41,"F"
"A24544",89.54,"F"
"A24545",79.372,"F"
"A24546",85.524,"F"
"A24557",77.338,"M"
"A24559",90.672,"M"
"A24598",78.9,"F"
"A24600",79.204,"M"
"A24601",74.814,"M"
"A24604",62.666,"M"
"A24621",78.268,"M"
"A24642",76.7,"F"
"A24651",86.528,"F"
"A24657",79.406,"M"
"A24668",76.771,"M"
"A24673",78.879,"F"
"A24683",88.053,"M"
"A24688",83.5,"M"
"A24693",87.377,"M"
"A24697",94.043,"M"
"A24699",80.379,"M"
"A24706",77.276,"M"
"A24710",87.538,"F"
"A24712",84.517,"F"
"A24713",81.953,"F"
"A24715",88.325,"M"
"A24770",78.6,"M"
"A24775",86.92,"F"
"A24779",80.437,"F"
"A24784",76.414,"M"
"A24801",81.18,"M"
"A24804",74.705,"M"
"A24806",91.313,"F"
"A24808",84.736,"M"
"A24813",69.602,"M"
"A24836",80.475,"F"
"A24842",79.964,"M"
"A24843",90.846,"F"
"A24844",81.512,"M"
"A24849",82.607,"M"
"A24850",76.6,"F"
"A24854",79.514,"M"
"A24873",82.272,"M"
"A24876",82.5,"F"
"A24879",72.257,"M"
"A24890",80.972,"M"
"A24899",81.098,"M"
"A24904",89.909,"M"
"A24928",80.517,"F"
"A24933",77.063,"M"
"A24935",81.84,"M"
"A24936",86.1,"F"
"A24941",86.28,"M"
"A24943",76.688,"M"
"A24944",72.031,"M"
"A24945",75.516,"M"
"A24950",60.78,"M"
"A24958",66.777,"M"
"A24966",78.576,"M"
"A24988",68.333,"F"
"A24993",89.964,"M"
"A24998",94.8,"F"
"A24999",75.42,"M"
"A25003",89.465,"M"
"A25007",75.745,"F"
"A25232",84.383,"M"
"A25823",77.88,"F"
"A25870",76.709,"M"
"A25875",72.864,"M"
"A25885",73.656,"M"
"A25980",77.051,"M"
"A25987",79.97,"F"
"A25998",88.06,"F"
"A25999",68.905,"F"
"A26003",77.757,"M"
"A26006",79.283,"F"
"A26007",84.056,"M"
"A26009",80.644,"M"
"A26012",82.084,"M"
"A26038",76.681,"F"
"A26055",77.074,"F"
"A26061",75.148,"F"
"A26111",85.285,"F"
"A26112",78.672,"M"
"A26113",87.074,"M"
"A26114",74.617,"M"
"A26116",78.673,"M"
"A26117",83.897,"M"
"A26119",78.363,"M"
"A26120",90.578,"M"
"A26121",76.875,"M"
"A26123",84.354,"M"
"A26124",86.058,"F"
"A26125",71.121,"M"
"A26126",86.666,"F"
"A26127",73.979,"M"
"A26128",89.629,"F"
"A26130",77.653,"F"
"A26135",79.211,"F"
"A26144",67.531,"M"
"A26147",86.622,"M"
"A26148",80.56,"M"
"A26150",88.88,"M"
"A26154",75.209,"M"
"A26156",87.347,"M"
"A26157",71.033,"M"
"A26158",64.793,"M"
"A26160",83.772,"M"
"A26164",79.688,"M"
"A26166",88.75,"M"
"A26170",92.4,"M"
"A26171",85.853,"M"
"A26172",76.511,"M"
"A26173",74.829,"M"
"A26175",84.716,"M"
"A26176",92.622,"F"
"A26177",76.49,"M"
"A26189",84.9,"M"
"A26191",78.702,"F"
"A26193",85.094,"M"
"A26200",65.735,"F"
"A26203",77.634,"M"
"A26204",76.243,"M"
"A26206",82.122,"M"
"A26212",76.375,"F"
"A26218",89.392,"M"
"A26219",89.204,"F"
"A26223",77.727,"M"
"A26224",59.611,"F"
"A26227",91.981,"F"
"A26232",79.239,"M"
"A26234",85.972,"F"
"A26242",80.107,"M"
"A26253",74.216,"M"
"A26276",80.076,"F"
"A26281",83.552,"F"
"A26289",83.365,"M"
"A26291",76.779,"M"
"A26294",89.333,"F"
"A26295",77.208,"F"
"A26296",73.406,"F"
"A26297",83.888,"F"
"A26298",79.162,"M"
"A26300",88.472,"F"
"A26301",78.419,"M"
"A26302",70.441,"M"
"A26304",77.794,"M"
"A26305",76.342,"M"
"A26309",74.812,"F"
"A26310",73.641,"M"
"A26314",73.481,"M"
"A26316",97.279,"F"
"A26318",81.228,"M"
"A26319",70.882,"M"
"A26321",86.138,"M"
"A26323",84.885,"F"
"A26324",92.153,"F"
"A26329",81.9,"M"
"A26330",90.372,"M"
"A26333",82.095,"F"
"A26336",83.833,"M"
"A26337",83.379,"M"
"A26338",86.842,"M"
"A26340",75.945,"M"
"A26346",75.807,"F"
"A26347",82.195,"M"
"A26349",78.451,"F"
"A26351",80.861,"M"
"A26353",71.661,"M"
"A26365",75.773,"F"
"A26366",72.615,"F"
"A26369",79.288,"M"
"A26372",83.818,"M"
"A26377",91.25,"F"
"A26382",83.307,"M"
"A26383",84.942,"F"
"A26385",94.171,"F"
"A26397",92.909,"M"
"A26402",80.739,"M"
"A26403",73.958,"M"
"A26407",83.615,"M"
"A26408",86.92,"M"
"A26411",84.66,"M"
"A26412",77.508,"M"
"A26414",81.25,"M"
"A26418",79.925,"M"
"A26421",87.259,"F"
"A26423",88.25,"F"
"A26424",93.12,"F"
"A26425",80.833,"M"
"A26427",88.857,"M"
"A26428",76.2,"M"
"A26429",92.272,"M"
"A26431",81.772,"F"
"A26432",74.208,"M"
"A26434",79.454,"M"
"A26435",91.36,"F"
"A26436",90.12,"M"
"A26437",81.697,"M"
"A26438",85.222,"M"
"A26439",92.833,"M"
"A26440",83.24,"F"
"A26441",75.653,"M"
"A26444",80.13,"M"
"A26448",79.56,"M"
"A26449",77.227,"F"
"A26450",80.034,"M"
"A26451",80.687,"M"
"A26455",0,"F"
"A26458",83,"M"
"A26459",85.923,"M"
"A26460",87.76,"M"
"A26461",68.902,"M"
"A26462",80.263,"M"
"A26463",84.365,"M"
"A26472",92.038,"M"
"A26473",83.052,"M"
"A26474",87.631,"F"
"A26476",77.764,"M"
"A26478",81.806,"M"
"A26480",82.769,"M"
"A26481",80.109,"M"
"A26486",84.666,"M"
"A26487",79.653,"M"
